[2019/11/5 - 12:14:27] AdmCmd: Coco L Valencia has been prisoned by Mickey Freeman, reason: kos
[2019/11/5 - 12:41:41] AdmCmd: Kray Flockavelli has been prisoned by Fionam, reason: DM
[2019/11/5 - 12:48:26] AdmCmd: Jino Smith has been prisoned by Sherlock King Demon, reason: DM
[2019/11/5 - 13:27:43] AdmCmd: Daz Dillinger has been prisoned by Fionam, reason: DM
[2019/11/5 - 13:36:26] AdmCmd: Daz Dillinger has been prisoned by Darvin, reason: DM
[2019/11/5 - 13:44:04] AdmCmd: Richard Cheech has been prisoned by Darvin, reason: DM
[2019/11/5 - 13:50:38] AdmCmd: Jino Smith has been prisoned by Lexi Lore, reason: DM
[2019/11/5 - 13:51:07] AdmCmd: Jino Smith has been prisoned by Darvin, reason: DM (Added more time)
[2019/11/5 - 13:52:34] AdmCmd: Daz Dillinger has been prisoned by Darvin, reason: DM (Reduced)
[2019/11/6 - 4:41:39] AdmCmd: Chumpie Sakura has been prisoned by Shernan King Demon, reason: Sniper DM
[2019/11/6 - 4:44:36] AdmCmd: Hood Charles has been prisoned by Shernan King Demon, reason: Powergaming
[2019/11/6 - 4:46:52] AdmCmd: Jino Smith has been prisoned by Shernan King Demon, reason: DM
[2019/11/6 - 6:26:47] AdmCmd: Bobby Escobar has been prisoned by Fionam, reason: Deathmatching
[2019/11/6 - 9:21:58] AdmCmd: Hood Charles has been prisoned by Jax, reason: DM
[2019/11/6 - 9:22:28] AdmCmd: Hood Charles has been prisoned by Jax, reason: Reduced
[2019/11/6 - 11:05:59] AdmCmd: Hood Charles has been prisoned by Doffy, reason: RK
[2019/11/6 - 12:14:42] AdmCmd: Ryan Bang has been prisoned by Michael Rigger, reason: PG (removing own /wanted level)
[2019/11/6 - 12:19:05] AdmCmd: Ryan Bang has been prisoned by Doffy, reason: Reduced
[2019/11/6 - 13:52:54] AdmCmd: Rui Sashi Matsuko has been prisoned by John Livel, reason: KOS
[2019/11/6 - 13:54:28] AdmCmd: Rui Sashi Matsuko has been prisoned by Darvin, reason: Reduced
[2019/11/6 - 14:15:33] AdmCmd: Jazz_Hanako has been offline prisoned by Akira, reason: Change name before release.
[2019/11/6 - 21:34:38] AdmCmd: Semi Totorin has been prisoned by Nick Mcfellow, reason: CS
[2019/11/6 - 21:34:45] AdmCmd: Katsuro Hiroshi has been prisoned by Nick Mcfellow, reason: CS
[2019/11/7 - 6:21:49] AdmCmd: Sherwood K. Demon has been prisoned by Darvin, reason: DM
[2019/11/7 - 6:37:13] AdmCmd: Sherwood K. Demon has been prisoned by Jax, reason: DM
[2019/11/7 - 7:02:18] AdmCmd: Kuro Tsutake has been prisoned by Nir Francis, reason: 15 DM
[2019/11/7 - 7:28:45] AdmCmd: Kuro Tsutake has been prisoned by Jax Winterfield, reason: DM
[2019/11/7 - 7:33:14] AdmCmd: Kuro Tsutake has been prisoned by Scorpion, reason: DM(Reduced)
[2019/11/7 - 9:16:53] AdmCmd: Eyan De Blackwood has been prisoned by Jax, reason: DM
[2019/11/7 - 9:19:43] AdmCmd: Lucy Flexman has been prisoned by Doffy, reason: DM
[2019/11/7 - 12:10:45] AdmCmd: Kray Flockavelli has been prisoned by Darvin, reason: Reduced
[2019/11/7 - 14:11:26] AdmCmd: Chamz Benson has been prisoned by Michael Rogers, reason: PG
[2019/11/8 - 3:35:40] AdmCmd: Big Dick has been prisoned by Doffy, reason: Fix your name
[2019/11/8 - 3:45:13] AdmCmd: Hood Charles has been prisoned by Doffy, reason: DM
[2019/11/8 - 3:47:23] AdmCmd: Hood Charles has been prisoned by Doffy, reason: Reduced
[2019/11/8 - 8:52:59] AdmCmd: Kuro Tsutake has been prisoned by Doffy, reason: DM
[2019/11/8 - 9:02:54] AdmCmd: Marcin Gucci Benson has been prisoned by Charles, reason: DM
[2019/11/8 - 10:13:29] AdmCmd: Sherwood K. Demon has been prisoned by Charles, reason: DM
[2019/11/8 - 10:34:10] AdmCmd: Kuro Tsutake has been prisoned by Charles, reason: dm
[2019/11/8 - 11:49:40] AdmCmd: Hood Charles has been prisoned by Jax Winterfield, reason: DM
[2019/11/8 - 11:50:58] AdmCmd: Hood Charles has been prisoned by William, reason: DM
[2019/11/8 - 12:00:33] AdmCmd: Monkey D. Luffy has been prisoned by Doffy, reason: DM
[2019/11/8 - 15:25:58] AdmCmd: James Rockman has been prisoned by Fredy, reason: DM
[2019/11/9 - 1:53:18] AdmCmd: Xao_Kai has been offline prisoned by Chan, reason: BOTD
[2019/11/9 - 5:45:25] AdmCmd: Clair Y. Marzette has been prisoned by Darvin, reason: DM
[2019/11/9 - 5:45:31] AdmCmd: Daz Dillinger has been prisoned by Darvin, reason: DM
[2019/11/9 - 5:45:36] AdmCmd: Clair Y. Marzette has been prisoned by Darvin, reason: Wrong id
[2019/11/9 - 5:48:23] AdmCmd: Daz Dillinger has been prisoned by Darvin, reason: DM (Reduced)
[2019/11/9 - 7:07:10] AdmCmd: Marjun Xerxes has been prisoned by Sean Mello, reason: 20 DM
[2019/11/9 - 9:26:30] AdmCmd: Andre_Young has been offline prisoned by Chan, reason: Killing on sight
